participant_id,seccion,item_id,item_label,escala_likert
P01,A,Q01,A_Q01_utilidad_deteccion_similitudes,5
P01,A,Q02,A_Q02_utilidad_analisis_multidimensional,5
P01,A,Q03,A_Q03_utilidad_complejidad_bigO,5
P01,A,Q04,A_Q04_utilidad_ahorro_tiempo,5
P01,A,Q05,A_Q05_utilidad_modulo_individual,5
P01,A,Q06,A_Q06_utilidad_modulo_grupal,5
P01,A,Q07,A_Q07_utilidad_uso_regular_docente,5
P01,B,Q08,B_Q08_precision_puntajes_vs_experto,5
P01,B,Q09,B_Q09_precision_identifica_codigo_identico,5
P01,B,Q10,B_Q10_precision_distingue_funcional_estructural,5
P01,B,Q11,B_Q11_precision_detecta_codigo_diferente,5
P01,B,Q12,B_Q12_precision_analisis_complejidad_correcto,5
P01,B,Q13,B_Q13_precision_confianza_decisiones_academicas,5
P01,C,Q14,C_Q14_justif_claras_comprensibles,5
P01,C,Q15,C_Q15_justif_aspectos_tecnicos_relevantes,5
P01,C,Q16,C_Q16_justif_nivel_detalle_apropiado,5
P01,C,Q17,C_Q17_justif_ayudan_entender_puntaje,5
P01,C,Q18,C_Q18_justif_terminologia_precisa,5
P02,A,Q01,A_Q01_utilidad_deteccion_similitudes,5
P02,A,Q02,A_Q02_utilidad_analisis_multidimensional,5
P02,A,Q03,A_Q03_utilidad_complejidad_bigO,5
P02,A,Q04,A_Q04_utilidad_ahorro_tiempo,5
P02,A,Q05,A_Q05_utilidad_modulo_individual,5
P02,A,Q06,A_Q06_utilidad_modulo_grupal,5
P02,A,Q07,A_Q07_utilidad_uso_regular_docente,5
P02,B,Q08,B_Q08_precision_puntajes_vs_experto,3
P02,B,Q09,B_Q09_precision_identifica_codigo_identico,5
P02,B,Q10,B_Q10_precision_distingue_funcional_estructural,4
P02,B,Q11,B_Q11_precision_detecta_codigo_diferente,4
P02,B,Q12,B_Q12_precision_analisis_complejidad_correcto,4
P02,B,Q13,B_Q13_precision_confianza_decisiones_academicas,4
P02,C,Q14,C_Q14_justif_claras_comprensibles,4
P02,C,Q15,C_Q15_justif_aspectos_tecnicos_relevantes,4
P02,C,Q16,C_Q16_justif_nivel_detalle_apropiado,3
P02,C,Q17,C_Q17_justif_ayudan_entender_puntaje,5
P02,C,Q18,C_Q18_justif_terminologia_precisa,4
P03,A,Q01,A_Q01_utilidad_deteccion_similitudes,4
P03,A,Q02,A_Q02_utilidad_analisis_multidimensional,4
P03,A,Q03,A_Q03_utilidad_complejidad_bigO,4
P03,A,Q04,A_Q04_utilidad_ahorro_tiempo,4
P03,A,Q05,A_Q05_utilidad_modulo_individual,4
P03,A,Q06,A_Q06_utilidad_modulo_grupal,4
P03,A,Q07,A_Q07_utilidad_uso_regular_docente,4
P03,B,Q08,B_Q08_precision_puntajes_vs_experto,5
P03,B,Q09,B_Q09_precision_identifica_codigo_identico,5
P03,B,Q10,B_Q10_precision_distingue_funcional_estructural,5
P03,B,Q11,B_Q11_precision_detecta_codigo_diferente,5
P03,B,Q12,B_Q12_precision_analisis_complejidad_correcto,5
P03,B,Q13,B_Q13_precision_confianza_decisiones_academicas,5
P03,C,Q14,C_Q14_justif_claras_comprensibles,5
P03,C,Q15,C_Q15_justif_aspectos_tecnicos_relevantes,5
P03,C,Q16,C_Q16_justif_nivel_detalle_apropiado,5
P03,C,Q17,C_Q17_justif_ayudan_entender_puntaje,5
P03,C,Q18,C_Q18_justif_terminologia_precisa,5
P04,A,Q01,A_Q01_utilidad_deteccion_similitudes,5
P04,A,Q02,A_Q02_utilidad_analisis_multidimensional,5
P04,A,Q03,A_Q03_utilidad_complejidad_bigO,5
P04,A,Q04,A_Q04_utilidad_ahorro_tiempo,5
P04,A,Q05,A_Q05_utilidad_modulo_individual,5
P04,A,Q06,A_Q06_utilidad_modulo_grupal,5
P04,A,Q07,A_Q07_utilidad_uso_regular_docente,5
P04,B,Q08,B_Q08_precision_puntajes_vs_experto,5
P04,B,Q09,B_Q09_precision_identifica_codigo_identico,5
P04,B,Q10,B_Q10_precision_distingue_funcional_estructural,5
P04,B,Q11,B_Q11_precision_detecta_codigo_diferente,5
P04,B,Q12,B_Q12_precision_analisis_complejidad_correcto,5
P04,B,Q13,B_Q13_precision_confianza_decisiones_academicas,5
P04,C,Q14,C_Q14_justif_claras_comprensibles,4
P04,C,Q15,C_Q15_justif_aspectos_tecnicos_relevantes,4
P04,C,Q16,C_Q16_justif_nivel_detalle_apropiado,3
P04,C,Q17,C_Q17_justif_ayudan_entender_puntaje,5
P04,C,Q18,C_Q18_justif_terminologia_precisa,4
P05,A,Q01,A_Q01_utilidad_deteccion_similitudes,5
P05,A,Q02,A_Q02_utilidad_analisis_multidimensional,5
P05,A,Q03,A_Q03_utilidad_complejidad_bigO,5
P05,A,Q04,A_Q04_utilidad_ahorro_tiempo,5
P05,A,Q05,A_Q05_utilidad_modulo_individual,5
P05,A,Q06,A_Q06_utilidad_modulo_grupal,5
P05,A,Q07,A_Q07_utilidad_uso_regular_docente,5
P05,B,Q08,B_Q08_precision_puntajes_vs_experto,3
P05,B,Q09,B_Q09_precision_identifica_codigo_identico,5
P05,B,Q10,B_Q10_precision_distingue_funcional_estructural,4
P05,B,Q11,B_Q11_precision_detecta_codigo_diferente,4
P05,B,Q12,B_Q12_precision_analisis_complejidad_correcto,4
P05,B,Q13,B_Q13_precision_confianza_decisiones_academicas,4
P05,C,Q14,C_Q14_justif_claras_comprensibles,5
P05,C,Q15,C_Q15_justif_aspectos_tecnicos_relevantes,5
P05,C,Q16,C_Q16_justif_nivel_detalle_apropiado,5
P05,C,Q17,C_Q17_justif_ayudan_entender_puntaje,5
P05,C,Q18,C_Q18_justif_terminologia_precisa,5
